order_arm,endpoint,endpoint_relation,blocker_partition,center_collision,shell_intersections,pinned_center,hterminal_witnesses,blocker_caps_summary,cap_ingress_status,coverage_status,metric_role_count,overlap_profile,result,abstraction_label,exact_replay
outside_fresh_between_source_canonical,qBetween,offEndpoint,0123,class0,class0:w0+w1+w2+w3,canonicalSource,w0|e0,0|1|2,projected_away_no_cap_assignment,downgraded_partial_no_live_row_seed_injection;offEndpoint_center_fixed_canonicalSource;no_global_rank_kalmanson,16,class0:4,sat,SAT_ABSTRACTION,true
outside_fresh_between_source_canonical,qBetween,offEndpoint,0|123,class1,class0:w0;class1:w0+w1+w2+w3,canonicalSource,w0|e0,0|1|2,projected_away_no_cap_assignment,downgraded_partial_no_live_row_seed_injection;offEndpoint_center_fixed_canonicalSource;no_global_rank_kalmanson,17,class0:1;class1:4,sat,SAT_ABSTRACTION,true
outside_fresh_between_source_canonical,qBetween,offEndpoint,0|123,class1,class0:w0+w1;class1:w0+w1+w2+w3,canonicalSource,w0|e0,0|1|2,projected_away_no_cap_assignment,downgraded_partial_no_live_row_seed_injection;offEndpoint_center_fixed_canonicalSource;no_global_rank_kalmanson,17,class0:2;class1:4,sat,SAT_ABSTRACTION,true
outside_fresh_between_source_canonical,qBetween,offEndpoint,0|123,class1,class0:w0+w2;class1:w0+w1+w2+w3,canonicalSource,w0|e0,0|1|2,projected_away_no_cap_assignment,downgraded_partial_no_live_row_seed_injection;offEndpoint_center_fixed_canonicalSource;no_global_rank_kalmanson,17,class0:2;class1:4,sat,SAT_ABSTRACTION,true
outside_fresh_between_source_canonical,qBetween,offEndpoint,0|123,class1,class0:w0+w3;class1:w0+w1+w2+w3,canonicalSource,w0|e0,0|1|2,projected_away_no_cap_assignment,downgraded_partial_no_live_row_seed_injection;offEndpoint_center_fixed_canonicalSource;no_global_rank_kalmanson,17,class0:2;class1:4,sat,SAT_ABSTRACTION,true
outside_fresh_between_source_canonical,qBetween,offEndpoint,01|23,none,class0:w0+w1;class1:w2+w3,canonicalSource,w0|e0,0|1|2,projected_away_no_cap_assignment,downgraded_partial_no_live_row_seed_injection;offEndpoint_center_fixed_canonicalSource;no_global_rank_kalmanson,18,class0:2;class1:2,unsat,UNSAT_ABSTRACTION,true
outside_fresh_between_source_canonical,qBetween,offEndpoint,01|23,class0,class0:w0+w1+w2+w3;class1:w2+w3,canonicalSource,w0|e0,0|1|2,projected_away_no_cap_assignment,downgraded_partial_no_live_row_seed_injection;offEndpoint_center_fixed_canonicalSource;no_global_rank_kalmanson,17,class0:4;class1:2,unsat,UNSAT_ABSTRACTION,true
outside_fresh_between_source_canonical,qBetween,offEndpoint,01|23,class1,class0:w0+w1;class1:w0+w1+w2+w3,canonicalSource,w0|e0,0|1|2,projected_away_no_cap_assignment,downgraded_partial_no_live_row_seed_injection;offEndpoint_center_fixed_canonicalSource;no_global_rank_kalmanson,17,class0:2;class1:4,sat,SAT_ABSTRACTION,true
outside_fresh_between_source_canonical,qBetween,offEndpoint,1|023,class1,class0:w1;class1:w0+w1+w2+w3,canonicalSource,w0|e0,0|1|2,projected_away_no_cap_assignment,downgraded_partial_no_live_row_seed_injection;offEndpoint_center_fixed_canonicalSource;no_global_rank_kalmanson,17,class0:1;class1:4,unsat,UNSAT_ABSTRACTION,true
outside_fresh_between_source_canonical,qBetween,offEndpoint,1|023,class1,class0:w1+w0;class1:w0+w1+w2+w3,canonicalSource,w0|e0,0|1|2,projected_away_no_cap_assignment,downgraded_partial_no_live_row_seed_injection;offEndpoint_center_fixed_canonicalSource;no_global_rank_kalmanson,17,class0:2;class1:4,unsat,UNSAT_ABSTRACTION,true
