order_arm,endpoint,endpoint_relation,blocker_cap,collision,result,exact_replay
outside_fresh_between_source_canonical,qBetween,offEndpoint,0,equal,sat,true
outside_fresh_between_source_canonical,qBetween,offEndpoint,1,equal,sat,true
outside_fresh_between_source_canonical,qBetween,offEndpoint,2,equal,sat,true
outside_fresh_between_source_canonical,qBetween,offEndpoint,0,distinct,sat,true
outside_fresh_between_source_canonical,qBetween,offEndpoint,1,distinct,sat,true
outside_fresh_between_source_canonical,qBetween,offEndpoint,2,distinct,sat,true
outside_fresh_between_source_canonical,qBetween,atEndpoint,0,equal,sat,true
outside_fresh_between_source_canonical,qBetween,atEndpoint,1,equal,sat,true
outside_fresh_between_source_canonical,qBetween,atEndpoint,2,equal,sat,true
outside_fresh_between_source_canonical,qBetween,atEndpoint,0,distinct,sat,true
outside_fresh_between_source_canonical,qBetween,atEndpoint,1,distinct,sat,true
outside_fresh_between_source_canonical,qBetween,atEndpoint,2,distinct,sat,true
outside_fresh_between_canonical_source,qOutside,offEndpoint,0,equal,sat,true
outside_fresh_between_canonical_source,qOutside,offEndpoint,1,equal,sat,true
outside_fresh_between_canonical_source,qOutside,offEndpoint,2,equal,sat,true
outside_fresh_between_canonical_source,qOutside,offEndpoint,0,distinct,sat,true
outside_fresh_between_canonical_source,qOutside,offEndpoint,1,distinct,sat,true
outside_fresh_between_canonical_source,qOutside,offEndpoint,2,distinct,sat,true
outside_fresh_between_canonical_source,qOutside,atEndpoint,0,equal,sat,true
outside_fresh_between_canonical_source,qOutside,atEndpoint,1,equal,sat,true
outside_fresh_between_canonical_source,qOutside,atEndpoint,2,equal,sat,true
outside_fresh_between_canonical_source,qOutside,atEndpoint,0,distinct,sat,true
outside_fresh_between_canonical_source,qOutside,atEndpoint,1,distinct,sat,true
outside_fresh_between_canonical_source,qOutside,atEndpoint,2,distinct,sat,true
canonical_source_between_fresh_outside,qBetween,offEndpoint,0,equal,sat,true
canonical_source_between_fresh_outside,qBetween,offEndpoint,1,equal,sat,true
canonical_source_between_fresh_outside,qBetween,offEndpoint,2,equal,sat,true
canonical_source_between_fresh_outside,qBetween,offEndpoint,0,distinct,sat,true
canonical_source_between_fresh_outside,qBetween,offEndpoint,1,distinct,sat,true
canonical_source_between_fresh_outside,qBetween,offEndpoint,2,distinct,sat,true
canonical_source_between_fresh_outside,qBetween,atEndpoint,0,equal,sat,true
canonical_source_between_fresh_outside,qBetween,atEndpoint,1,equal,sat,true
canonical_source_between_fresh_outside,qBetween,atEndpoint,2,equal,sat,true
canonical_source_between_fresh_outside,qBetween,atEndpoint,0,distinct,sat,true
canonical_source_between_fresh_outside,qBetween,atEndpoint,1,distinct,sat,true
canonical_source_between_fresh_outside,qBetween,atEndpoint,2,distinct,sat,true
source_canonical_between_fresh_outside,qOutside,offEndpoint,0,equal,sat,true
source_canonical_between_fresh_outside,qOutside,offEndpoint,1,equal,sat,true
source_canonical_between_fresh_outside,qOutside,offEndpoint,2,equal,sat,true
source_canonical_between_fresh_outside,qOutside,offEndpoint,0,distinct,sat,true
source_canonical_between_fresh_outside,qOutside,offEndpoint,1,distinct,sat,true
source_canonical_between_fresh_outside,qOutside,offEndpoint,2,distinct,sat,true
source_canonical_between_fresh_outside,qOutside,atEndpoint,0,equal,sat,true
source_canonical_between_fresh_outside,qOutside,atEndpoint,1,equal,sat,true
source_canonical_between_fresh_outside,qOutside,atEndpoint,2,equal,sat,true
source_canonical_between_fresh_outside,qOutside,atEndpoint,0,distinct,sat,true
source_canonical_between_fresh_outside,qOutside,atEndpoint,1,distinct,sat,true
source_canonical_between_fresh_outside,qOutside,atEndpoint,2,distinct,sat,true
